Geslacht;Bedrijfstakken/branches (SBI 2008);Perioden;Onderwerp;Type werkenden;Waarde
Mannen;H Vervoer en opslag;2018;Gewerkte uren;Werknemers;477
Mannen;H Vervoer en opslag;2018;Gewerkte uren;Zelfstandigen;70
Mannen;I Horeca;2013;Werkzame personen;Werknemers;149
Mannen;I Horeca;2013;Werkzame personen;Zelfstandigen;37
Mannen;I Horeca;2013;Banen;Werknemers;166
Mannen;I Horeca;2013;Banen;Zelfstandigen;53
Mannen;I Horeca;2013;Arbeidsjaren;Werknemers;95
Mannen;I Horeca;2013;Arbeidsjaren;Zelfstandigen;37
Mannen;I Horeca;2013;Gewerkte uren;Werknemers;163
Mannen;I Horeca;2013;Gewerkte uren;Zelfstandigen;100
Mannen;I Horeca;2014;Werkzame personen;Werknemers;154
Mannen;I Horeca;2014;Werkzame personen;Zelfstandigen;38
Mannen;I Horeca;2014;Banen;Werknemers;170
Mannen;I Horeca;2014;Banen;Zelfstandigen;55
Mannen;I Horeca;2014;Arbeidsjaren;Werknemers;97
Mannen;I Horeca;2014;Arbeidsjaren;Zelfstandigen;39
Mannen;I Horeca;2014;Gewerkte uren;Werknemers;168
Mannen;I Horeca;2014;Gewerkte uren;Zelfstandigen;106
Mannen;I Horeca;2015;Werkzame personen;Werknemers;161
Mannen;I Horeca;2015;Werkzame personen;Zelfstandigen;38
Mannen;I Horeca;2015;Banen;Werknemers;179
Mannen;I Horeca;2015;Banen;Zelfstandigen;56
Mannen;I Horeca;2015;Arbeidsjaren;Werknemers;102
Mannen;I Horeca;2015;Arbeidsjaren;Zelfstandigen;39
Mannen;I Horeca;2015;Gewerkte uren;Werknemers;176
Mannen;I Horeca;2015;Gewerkte uren;Zelfstandigen;105
Mannen;I Horeca;2016;Werkzame personen;Werknemers;170
Mannen;I Horeca;2016;Werkzame personen;Zelfstandigen;38
Mannen;I Horeca;2016;Banen;Werknemers;188
Mannen;I Horeca;2016;Banen;Zelfstandigen;57
Mannen;I Horeca;2016;Arbeidsjaren;Werknemers;108
Mannen;I Horeca;2016;Arbeidsjaren;Zelfstandigen;40
Mannen;I Horeca;2016;Gewerkte uren;Werknemers;187
Mannen;I Horeca;2016;Gewerkte uren;Zelfstandigen;106
Mannen;I Horeca;2017;Werkzame personen;Werknemers;179
Mannen;I Horeca;2017;Werkzame personen;Zelfstandigen;38
Mannen;I Horeca;2017;Banen;Werknemers;197
Mannen;I Horeca;2017;Banen;Zelfstandigen;57
Mannen;I Horeca;2017;Arbeidsjaren;Werknemers;114
Mannen;I Horeca;2017;Arbeidsjaren;Zelfstandigen;40
Mannen;I Horeca;2017;Gewerkte uren;Werknemers;198
Mannen;I Horeca;2017;Gewerkte uren;Zelfstandigen;102
Mannen;I Horeca;2018;Werkzame personen;Werknemers;187
Mannen;I Horeca;2018;Werkzame personen;Zelfstandigen;39
Mannen;I Horeca;2018;Banen;Werknemers;206
Mannen;I Horeca;2018;Banen;Zelfstandigen;59
Mannen;I Horeca;2018;Arbeidsjaren;Werknemers;120
Mannen;I Horeca;2018;Arbeidsjaren;Zelfstandigen;41
Mannen;I Horeca;2018;Gewerkte uren;Werknemers;208
Mannen;I Horeca;2018;Gewerkte uren;Zelfstandigen;107
Mannen;J Informatie en communicatie;2013;Werkzame personen;Werknemers;163
Mannen;J Informatie en communicatie;2013;Werkzame personen;Zelfstandigen;31
Mannen;J Informatie en communicatie;2013;Banen;Werknemers;168
Mannen;J Informatie en communicatie;2013;Banen;Zelfstandigen;47
Mannen;J Informatie en communicatie;2013;Arbeidsjaren;Werknemers;156
Mannen;J Informatie en communicatie;2013;Arbeidsjaren;Zelfstandigen;33
Mannen;J Informatie en communicatie;2013;Gewerkte uren;Werknemers;279
Mannen;J Informatie en communicatie;2013;Gewerkte uren;Zelfstandigen;70
Mannen;J Informatie en communicatie;2014;Werkzame personen;Werknemers;166
Mannen;J Informatie en communicatie;2014;Werkzame personen;Zelfstandigen;32
Mannen;J Informatie en communicatie;2014;Banen;Werknemers;170
Mannen;J Informatie en communicatie;2014;Banen;Zelfstandigen;49
Mannen;J Informatie en communicatie;2014;Arbeidsjaren;Werknemers;159
Mannen;J Informatie en communicatie;2014;Arbeidsjaren;Zelfstandigen;34
Mannen;J Informatie en communicatie;2014;Gewerkte uren;Werknemers;287
Mannen;J Informatie en communicatie;2014;Gewerkte uren;Zelfstandigen;73
Mannen;J Informatie en communicatie;2015;Werkzame personen;Werknemers;170
Mannen;J Informatie en communicatie;2015;Werkzame personen;Zelfstandigen;33
Mannen;J Informatie en communicatie;2015;Banen;Werknemers;175
Mannen;J Informatie en communicatie;2015;Banen;Zelfstandigen;51
Mannen;J Informatie en communicatie;2015;Arbeidsjaren;Werknemers;163
Mannen;J Informatie en communicatie;2015;Arbeidsjaren;Zelfstandigen;35
Mannen;J Informatie en communicatie;2015;Gewerkte uren;Werknemers;294
Mannen;J Informatie en communicatie;2015;Gewerkte uren;Zelfstandigen;75
Mannen;J Informatie en communicatie;2016;Werkzame personen;Werknemers;175
Mannen;J Informatie en communicatie;2016;Werkzame personen;Zelfstandigen;34
Mannen;J Informatie en communicatie;2016;Banen;Werknemers;180
Mannen;J Informatie en communicatie;2016;Banen;Zelfstandigen;53
Mannen;J Informatie en communicatie;2016;Arbeidsjaren;Werknemers;168
Mannen;J Informatie en communicatie;2016;Arbeidsjaren;Zelfstandigen;37
Mannen;J Informatie en communicatie;2016;Gewerkte uren;Werknemers;302
Mannen;J Informatie en communicatie;2016;Gewerkte uren;Zelfstandigen;79
Mannen;J Informatie en communicatie;2017;Werkzame personen;Werknemers;185
Mannen;J Informatie en communicatie;2017;Werkzame personen;Zelfstandigen;35
Mannen;J Informatie en communicatie;2017;Banen;Werknemers;190
Mannen;J Informatie en communicatie;2017;Banen;Zelfstandigen;55
Mannen;J Informatie en communicatie;2017;Arbeidsjaren;Werknemers;177
Mannen;J Informatie en communicatie;2017;Arbeidsjaren;Zelfstandigen;38
Mannen;J Informatie en communicatie;2017;Gewerkte uren;Werknemers;315
Mannen;J Informatie en communicatie;2017;Gewerkte uren;Zelfstandigen;78
Mannen;J Informatie en communicatie;2018;Werkzame personen;Werknemers;193
Mannen;J Informatie en communicatie;2018;Werkzame personen;Zelfstandigen;36
Mannen;J Informatie en communicatie;2018;Banen;Werknemers;198
Mannen;J Informatie en communicatie;2018;Banen;Zelfstandigen;56
Mannen;J Informatie en communicatie;2018;Arbeidsjaren;Werknemers;184
Mannen;J Informatie en communicatie;2018;Arbeidsjaren;Zelfstandigen;38
Mannen;J Informatie en communicatie;2018;Gewerkte uren;Werknemers;327
Mannen;J Informatie en communicatie;2018;Gewerkte uren;Zelfstandigen;78
Mannen;K Financiële dienstverlening;2013;Werkzame personen;Werknemers;130
Mannen;K Financiële dienstverlening;2013;Werkzame personen;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2013;Banen;Werknemers;132
Mannen;K Financiële dienstverlening;2013;Banen;Zelfstandigen;6
Mannen;K Financiële dienstverlening;2013;Arbeidsjaren;Werknemers;126
Mannen;K Financiële dienstverlening;2013;Arbeidsjaren;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2013;Gewerkte uren;Werknemers;217
Mannen;K Financiële dienstverlening;2013;Gewerkte uren;Zelfstandigen;10
Mannen;K Financiële dienstverlening;2014;Werkzame personen;Werknemers;126
Mannen;K Financiële dienstverlening;2014;Werkzame personen;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2014;Banen;Werknemers;128
Mannen;K Financiële dienstverlening;2014;Banen;Zelfstandigen;6
Mannen;K Financiële dienstverlening;2014;Arbeidsjaren;Werknemers;121
Mannen;K Financiële dienstverlening;2014;Arbeidsjaren;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2014;Gewerkte uren;Werknemers;211
Mannen;K Financiële dienstverlening;2014;Gewerkte uren;Zelfstandigen;10
Mannen;K Financiële dienstverlening;2015;Werkzame personen;Werknemers;121
Mannen;K Financiële dienstverlening;2015;Werkzame personen;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2015;Banen;Werknemers;124
Mannen;K Financiële dienstverlening;2015;Banen;Zelfstandigen;6
Mannen;K Financiële dienstverlening;2015;Arbeidsjaren;Werknemers;118
Mannen;K Financiële dienstverlening;2015;Arbeidsjaren;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2015;Gewerkte uren;Werknemers;204
Mannen;K Financiële dienstverlening;2015;Gewerkte uren;Zelfstandigen;10
Mannen;K Financiële dienstverlening;2016;Werkzame personen;Werknemers;118
Mannen;K Financiële dienstverlening;2016;Werkzame personen;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2016;Banen;Werknemers;121
Mannen;K Financiële dienstverlening;2016;Banen;Zelfstandigen;6
Mannen;K Financiële dienstverlening;2016;Arbeidsjaren;Werknemers;115
Mannen;K Financiële dienstverlening;2016;Arbeidsjaren;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2016;Gewerkte uren;Werknemers;199
Mannen;K Financiële dienstverlening;2016;Gewerkte uren;Zelfstandigen;10
Mannen;K Financiële dienstverlening;2017;Werkzame personen;Werknemers;114
Mannen;K Financiële dienstverlening;2017;Werkzame personen;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2017;Banen;Werknemers;117
Mannen;K Financiële dienstverlening;2017;Banen;Zelfstandigen;6
Mannen;K Financiële dienstverlening;2017;Arbeidsjaren;Werknemers;111
Mannen;K Financiële dienstverlening;2017;Arbeidsjaren;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2017;Gewerkte uren;Werknemers;193
Mannen;K Financiële dienstverlening;2017;Gewerkte uren;Zelfstandigen;10
Mannen;K Financiële dienstverlening;2018;Werkzame personen;Werknemers;112
Mannen;K Financiële dienstverlening;2018;Werkzame personen;Zelfstandigen;5
Mannen;K Financiële dienstverlening;2018;Banen;Werknemers;115
Mannen;K Financiële dienstverlening;2018;Banen;Zelfstandigen;6
Mannen;K Financiële dienstverlening;2018;Arbeidsjaren;Werknemers;109
Mannen;K Financiële dienstverlening;2018;Arbeidsjaren;Zelfstandigen;4
Mannen;K Financiële dienstverlening;2018;Gewerkte uren;Werknemers;190
Mannen;K Financiële dienstverlening;2018;Gewerkte uren;Zelfstandigen;10
Mannen;L Verhuur en handel van onroerend goed;2013;Werkzame personen;Werknemers;34
Mannen;L Verhuur en handel van onroerend goed;2013;Werkzame personen;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2013;Banen;Werknemers;35
Mannen;L Verhuur en handel van onroerend goed;2013;Banen;Zelfstandigen;13
Mannen;L Verhuur en handel van onroerend goed;2013;Arbeidsjaren;Werknemers;32
Mannen;L Verhuur en handel van onroerend goed;2013;Arbeidsjaren;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2013;Gewerkte uren;Werknemers;54
Mannen;L Verhuur en handel van onroerend goed;2013;Gewerkte uren;Zelfstandigen;15
Mannen;L Verhuur en handel van onroerend goed;2014;Werkzame personen;Werknemers;33
Mannen;L Verhuur en handel van onroerend goed;2014;Werkzame personen;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2014;Banen;Werknemers;35
Mannen;L Verhuur en handel van onroerend goed;2014;Banen;Zelfstandigen;13
Mannen;L Verhuur en handel van onroerend goed;2014;Arbeidsjaren;Werknemers;31
Mannen;L Verhuur en handel van onroerend goed;2014;Arbeidsjaren;Zelfstandigen;6
Mannen;L Verhuur en handel van onroerend goed;2014;Gewerkte uren;Werknemers;53
Mannen;L Verhuur en handel van onroerend goed;2014;Gewerkte uren;Zelfstandigen;15
Mannen;L Verhuur en handel van onroerend goed;2015;Werkzame personen;Werknemers;32
Mannen;L Verhuur en handel van onroerend goed;2015;Werkzame personen;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2015;Banen;Werknemers;34
Mannen;L Verhuur en handel van onroerend goed;2015;Banen;Zelfstandigen;13
Mannen;L Verhuur en handel van onroerend goed;2015;Arbeidsjaren;Werknemers;30
Mannen;L Verhuur en handel van onroerend goed;2015;Arbeidsjaren;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2015;Gewerkte uren;Werknemers;51
Mannen;L Verhuur en handel van onroerend goed;2015;Gewerkte uren;Zelfstandigen;15
Mannen;L Verhuur en handel van onroerend goed;2016;Werkzame personen;Werknemers;32
Mannen;L Verhuur en handel van onroerend goed;2016;Werkzame personen;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2016;Banen;Werknemers;34
Mannen;L Verhuur en handel van onroerend goed;2016;Banen;Zelfstandigen;13
Mannen;L Verhuur en handel van onroerend goed;2016;Arbeidsjaren;Werknemers;30
Mannen;L Verhuur en handel van onroerend goed;2016;Arbeidsjaren;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2016;Gewerkte uren;Werknemers;51
Mannen;L Verhuur en handel van onroerend goed;2016;Gewerkte uren;Zelfstandigen;15
Mannen;L Verhuur en handel van onroerend goed;2017;Werkzame personen;Werknemers;32
Mannen;L Verhuur en handel van onroerend goed;2017;Werkzame personen;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2017;Banen;Werknemers;34
Mannen;L Verhuur en handel van onroerend goed;2017;Banen;Zelfstandigen;13
Mannen;L Verhuur en handel van onroerend goed;2017;Arbeidsjaren;Werknemers;30
Mannen;L Verhuur en handel van onroerend goed;2017;Arbeidsjaren;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2017;Gewerkte uren;Werknemers;51
Mannen;L Verhuur en handel van onroerend goed;2017;Gewerkte uren;Zelfstandigen;15
Mannen;L Verhuur en handel van onroerend goed;2018;Werkzame personen;Werknemers;33
Mannen;L Verhuur en handel van onroerend goed;2018;Werkzame personen;Zelfstandigen;7
Mannen;L Verhuur en handel van onroerend goed;2018;Banen;Werknemers;34
Mannen;L Verhuur en handel van onroerend goed;2018;Banen;Zelfstandigen;12
Mannen;L Verhuur en handel van onroerend goed;2018;Arbeidsjaren;Werknemers;31
Mannen;L Verhuur en handel van onroerend goed;2018;Arbeidsjaren;Zelfstandigen;6
Mannen;L Verhuur en handel van onroerend goed;2018;Gewerkte uren;Werknemers;51
Mannen;L Verhuur en handel van onroerend goed;2018;Gewerkte uren;Zelfstandigen;15
Mannen;M Specialistische zakelijke diensten;2013;Werkzame personen;Werknemers;295
Mannen;M Specialistische zakelijke diensten;2013;Werkzame personen;Zelfstandigen;124
Mannen;M Specialistische zakelijke diensten;2013;Banen;Werknemers;315
Mannen;M Specialistische zakelijke diensten;2013;Banen;Zelfstandigen;167
Mannen;M Specialistische zakelijke diensten;2013;Arbeidsjaren;Werknemers;287
Mannen;M Specialistische zakelijke diensten;2013;Arbeidsjaren;Zelfstandigen;93
Mannen;M Specialistische zakelijke diensten;2013;Gewerkte uren;Werknemers;516
Mannen;M Specialistische zakelijke diensten;2013;Gewerkte uren;Zelfstandigen;203
Mannen;M Specialistische zakelijke diensten;2014;Werkzame personen;Werknemers;298
Mannen;M Specialistische zakelijke diensten;2014;Werkzame personen;Zelfstandigen;129
Mannen;M Specialistische zakelijke diensten;2014;Banen;Werknemers;318
Mannen;M Specialistische zakelijke diensten;2014;Banen;Zelfstandigen;172
Mannen;M Specialistische zakelijke diensten;2014;Arbeidsjaren;Werknemers;288
Mannen;M Specialistische zakelijke diensten;2014;Arbeidsjaren;Zelfstandigen;96
Mannen;M Specialistische zakelijke diensten;2014;Gewerkte uren;Werknemers;523
Mannen;M Specialistische zakelijke diensten;2014;Gewerkte uren;Zelfstandigen;211
Mannen;M Specialistische zakelijke diensten;2015;Werkzame personen;Werknemers;310
Mannen;M Specialistische zakelijke diensten;2015;Werkzame personen;Zelfstandigen;131
Mannen;M Specialistische zakelijke diensten;2015;Banen;Werknemers;321
Mannen;M Specialistische zakelijke diensten;2015;Banen;Zelfstandigen;178
Mannen;M Specialistische zakelijke diensten;2015;Arbeidsjaren;Werknemers;291
Mannen;M Specialistische zakelijke diensten;2015;Arbeidsjaren;Zelfstandigen;103
Mannen;M Specialistische zakelijke diensten;2015;Gewerkte uren;Werknemers;526
Mannen;M Specialistische zakelijke diensten;2015;Gewerkte uren;Zelfstandigen;226
Mannen;M Specialistische zakelijke diensten;2016;Werkzame personen;Werknemers;318
Mannen;M Specialistische zakelijke diensten;2016;Werkzame personen;Zelfstandigen;132
Mannen;M Specialistische zakelijke diensten;2016;Banen;Werknemers;331
Mannen;M Specialistische zakelijke diensten;2016;Banen;Zelfstandigen;181
Mannen;M Specialistische zakelijke diensten;2016;Arbeidsjaren;Werknemers;299
Mannen;M Specialistische zakelijke diensten;2016;Arbeidsjaren;Zelfstandigen;103
Mannen;M Specialistische zakelijke diensten;2016;Gewerkte uren;Werknemers;543
Mannen;M Specialistische zakelijke diensten;2016;Gewerkte uren;Zelfstandigen;229
Mannen;M Specialistische zakelijke diensten;2017;Werkzame personen;Werknemers;322
Mannen;M Specialistische zakelijke diensten;2017;Werkzame personen;Zelfstandigen;133
Mannen;M Specialistische zakelijke diensten;2017;Banen;Werknemers;335
Mannen;M Specialistische zakelijke diensten;2017;Banen;Zelfstandigen;183
Mannen;M Specialistische zakelijke diensten;2017;Arbeidsjaren;Werknemers;303
Mannen;M Specialistische zakelijke diensten;2017;Arbeidsjaren;Zelfstandigen;108
Mannen;M Specialistische zakelijke diensten;2017;Gewerkte uren;Werknemers;545
Mannen;M Specialistische zakelijke diensten;2017;Gewerkte uren;Zelfstandigen;235
Mannen;M Specialistische zakelijke diensten;2018;Werkzame personen;Werknemers;333
Mannen;M Specialistische zakelijke diensten;2018;Werkzame personen;Zelfstandigen;136
Mannen;M Specialistische zakelijke diensten;2018;Banen;Werknemers;346
Mannen;M Specialistische zakelijke diensten;2018;Banen;Zelfstandigen;187
Mannen;M Specialistische zakelijke diensten;2018;Arbeidsjaren;Werknemers;312
Mannen;M Specialistische zakelijke diensten;2018;Arbeidsjaren;Zelfstandigen;111
Mannen;M Specialistische zakelijke diensten;2018;Gewerkte uren;Werknemers;559
Mannen;M Specialistische zakelijke diensten;2018;Gewerkte uren;Zelfstandigen;239
Mannen;N Verhuur en overige zakelijke diensten;2013;Werkzame personen;Werknemers;445
Mannen;N Verhuur en overige zakelijke diensten;2013;Werkzame personen;Zelfstandigen;28
Mannen;N Verhuur en overige zakelijke diensten;2013;Banen;Werknemers;490
Mannen;N Verhuur en overige zakelijke diensten;2013;Banen;Zelfstandigen;41
Mannen;N Verhuur en overige zakelijke diensten;2013;Arbeidsjaren;Werknemers;353
Mannen;N Verhuur en overige zakelijke diensten;2013;Arbeidsjaren;Zelfstandigen;30
Mannen;N Verhuur en overige zakelijke diensten;2013;Gewerkte uren;Werknemers;634
Mannen;N Verhuur en overige zakelijke diensten;2013;Gewerkte uren;Zelfstandigen;64
Mannen;N Verhuur en overige zakelijke diensten;2014;Werkzame personen;Werknemers;459
Mannen;N Verhuur en overige zakelijke diensten;2014;Werkzame personen;Zelfstandigen;29
Mannen;N Verhuur en overige zakelijke diensten;2014;Banen;Werknemers;502
Mannen;N Verhuur en overige zakelijke diensten;2014;Banen;Zelfstandigen;42
Mannen;N Verhuur en overige zakelijke diensten;2014;Arbeidsjaren;Werknemers;368
Mannen;N Verhuur en overige zakelijke diensten;2014;Arbeidsjaren;Zelfstandigen;31
Mannen;N Verhuur en overige zakelijke diensten;2014;Gewerkte uren;Werknemers;664
Mannen;N Verhuur en overige zakelijke diensten;2014;Gewerkte uren;Zelfstandigen;68
Mannen;N Verhuur en overige zakelijke diensten;2015;Werkzame personen;Werknemers;494
Mannen;N Verhuur en overige zakelijke diensten;2015;Werkzame personen;Zelfstandigen;28
Mannen;N Verhuur en overige zakelijke diensten;2015;Banen;Werknemers;541
Mannen;N Verhuur en overige zakelijke diensten;2015;Banen;Zelfstandigen;44
Mannen;N Verhuur en overige zakelijke diensten;2015;Arbeidsjaren;Werknemers;398
Mannen;N Verhuur en overige zakelijke diensten;2015;Arbeidsjaren;Zelfstandigen;31
Mannen;N Verhuur en overige zakelijke diensten;2015;Gewerkte uren;Werknemers;715
Mannen;N Verhuur en overige zakelijke diensten;2015;Gewerkte uren;Zelfstandigen;70
Mannen;N Verhuur en overige zakelijke diensten;2016;Werkzame personen;Werknemers;524
Mannen;N Verhuur en overige zakelijke diensten;2016;Werkzame personen;Zelfstandigen;29
Mannen;N Verhuur en overige zakelijke diensten;2016;Banen;Werknemers;571
Mannen;N Verhuur en overige zakelijke diensten;2016;Banen;Zelfstandigen;45
Mannen;N Verhuur en overige zakelijke diensten;2016;Arbeidsjaren;Werknemers;425
Mannen;N Verhuur en overige zakelijke diensten;2016;Arbeidsjaren;Zelfstandigen;34
Mannen;N Verhuur en overige zakelijke diensten;2016;Gewerkte uren;Werknemers;765
Mannen;N Verhuur en overige zakelijke diensten;2016;Gewerkte uren;Zelfstandigen;72
Mannen;N Verhuur en overige zakelijke diensten;2017;Werkzame personen;Werknemers;565
Mannen;N Verhuur en overige zakelijke diensten;2017;Werkzame personen;Zelfstandigen;30
Mannen;N Verhuur en overige zakelijke diensten;2017;Banen;Werknemers;616
Mannen;N Verhuur en overige zakelijke diensten;2017;Banen;Zelfstandigen;47
Mannen;N Verhuur en overige zakelijke diensten;2017;Arbeidsjaren;Werknemers;460
Mannen;N Verhuur en overige zakelijke diensten;2017;Arbeidsjaren;Zelfstandigen;35
Mannen;N Verhuur en overige zakelijke diensten;2017;Gewerkte uren;Werknemers;833
Mannen;N Verhuur en overige zakelijke diensten;2017;Gewerkte uren;Zelfstandigen;75
Mannen;N Verhuur en overige zakelijke diensten;2018;Werkzame personen;Werknemers;592
Mannen;N Verhuur en overige zakelijke diensten;2018;Werkzame personen;Zelfstandigen;32
Mannen;N Verhuur en overige zakelijke diensten;2018;Banen;Werknemers;644
Mannen;N Verhuur en overige zakelijke diensten;2018;Banen;Zelfstandigen;50
Mannen;N Verhuur en overige zakelijke diensten;2018;Arbeidsjaren;Werknemers;485
Mannen;N Verhuur en overige zakelijke diensten;2018;Arbeidsjaren;Zelfstandigen;37
Mannen;N Verhuur en overige zakelijke diensten;2018;Gewerkte uren;Werknemers;869
Mannen;N Verhuur en overige zakelijke diensten;2018;Gewerkte uren;Zelfstandigen;78
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Werkzame personen;Werknemers;290
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Werkzame personen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Banen;Werknemers;309
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Banen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Arbeidsjaren;Werknemers;293
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Arbeidsjaren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Gewerkte uren;Werknemers;481
Mannen;O Openbaar bestuur en overheidsdiensten;2013;Gewerkte uren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Werkzame personen;Werknemers;283
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Werkzame personen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Banen;Werknemers;306
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Banen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Arbeidsjaren;Werknemers;289
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Arbeidsjaren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Gewerkte uren;Werknemers;476
Mannen;O Openbaar bestuur en overheidsdiensten;2014;Gewerkte uren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Werkzame personen;Werknemers;280
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Werkzame personen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Banen;Werknemers;303
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Banen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Arbeidsjaren;Werknemers;284
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Arbeidsjaren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Gewerkte uren;Werknemers;463
Mannen;O Openbaar bestuur en overheidsdiensten;2015;Gewerkte uren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Werkzame personen;Werknemers;276
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Werkzame personen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Banen;Werknemers;299
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Banen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Arbeidsjaren;Werknemers;280
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Arbeidsjaren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Gewerkte uren;Werknemers;457
Mannen;O Openbaar bestuur en overheidsdiensten;2016;Gewerkte uren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Werkzame personen;Werknemers;275
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Werkzame personen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Banen;Werknemers;298
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Banen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Arbeidsjaren;Werknemers;278
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Arbeidsjaren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Gewerkte uren;Werknemers;451
Mannen;O Openbaar bestuur en overheidsdiensten;2017;Gewerkte uren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Werkzame personen;Werknemers;276
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Werkzame personen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Banen;Werknemers;298
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Banen;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Arbeidsjaren;Werknemers;277
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Arbeidsjaren;Zelfstandigen;0
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Gewerkte uren;Werknemers;457
Mannen;O Openbaar bestuur en overheidsdiensten;2018;Gewerkte uren;Zelfstandigen;0
Mannen;P Onderwijs;2013;Werkzame personen;Werknemers;173
Mannen;P Onderwijs;2013;Werkzame personen;Zelfstandigen;19
Mannen;P Onderwijs;2013;Banen;Werknemers;188
Mannen;P Onderwijs;2013;Banen;Zelfstandigen;30
Mannen;P Onderwijs;2013;Arbeidsjaren;Werknemers;156
Mannen;P Onderwijs;2013;Arbeidsjaren;Zelfstandigen;18
Mannen;P Onderwijs;2013;Gewerkte uren;Werknemers;246
Mannen;P Onderwijs;2013;Gewerkte uren;Zelfstandigen;40
Mannen;P Onderwijs;2014;Werkzame personen;Werknemers;170
Mannen;P Onderwijs;2014;Werkzame personen;Zelfstandigen;20
Mannen;P Onderwijs;2014;Banen;Werknemers;186
Mannen;P Onderwijs;2014;Banen;Zelfstandigen;32
Mannen;P Onderwijs;2014;Arbeidsjaren;Werknemers;155
Mannen;P Onderwijs;2014;Arbeidsjaren;Zelfstandigen;18
Mannen;P Onderwijs;2014;Gewerkte uren;Werknemers;245
Mannen;P Onderwijs;2014;Gewerkte uren;Zelfstandigen;41
Mannen;P Onderwijs;2015;Werkzame personen;Werknemers;170
Mannen;P Onderwijs;2015;Werkzame personen;Zelfstandigen;20
Mannen;P Onderwijs;2015;Banen;Werknemers;184
